# Wavelength(nm)	Intensity(Rayleigh)	v'	v''	Substate	J'	J''
1446.9110	1.0740e+03	2	0	2	0.5	1.5
1434.2005	5.2943e+02	2	0	2	0.5	0.5
1451.8961	3.4114e+03	2	0	1	1.5	2.5
1434.4442	4.5906e+03	2	0	1	1.5	1.5
1456.3982	1.3298e+03	2	0	2	1.5	2.5
1435.2272	1.5789e+02	2	0	2	1.5	1.5
1422.7202	6.5359e+02	2	0	2	1.5	0.5
1460.4833	3.5570e+03	2	0	1	2.5	3.5
1435.6720	1.5978e+03	2	0	1	2.5	2.5
1418.6057	1.7166e+03	2	0	1	2.5	1.5
1466.5069	1.0004e+03	2	0	2	2.5	3.5
1436.9082	5.9765e+01	2	0	2	2.5	2.5
1416.2960	5.8348e+02	2	0	2	2.5	1.5
1469.8437	2.3083e+03	2	0	1	3.5	4.5
1437.4413	5.0696e+02	2	0	1	3.5	3.5
1413.4002	1.3468e+03	2	0	1	3.5	2.5
1477.2383	5.2517e+02	2	0	2	3.5	4.5
1439.2188	2.0065e+01	2	0	2	3.5	3.5
1410.7007	3.1806e+02	2	0	2	3.5	2.5
1479.9832	1.0774e+03	2	0	1	4.5	5.5
1439.7754	1.3703e+02	2	0	1	4.5	4.5
1408.6711	6.5458e+02	2	0	1	4.5	3.5
1488.6166	2.0170e+02	2	0	2	4.5	5.5
1442.1431	5.5065e+00	2	0	2	4.5	4.5
1405.8865	1.2157e+02	2	0	2	4.5	3.5
1490.9027	3.7734e+02	2	0	1	5.5	6.5
1442.6904	3.0739e+01	2	0	1	5.5	5.5
1404.4573	2.2820e+02	2	0	1	5.5	4.5
1500.6737	5.8062e+01	2	0	2	5.5	6.5
1445.6748	1.2132e+00	2	0	2	5.5	5.5
1401.8044	3.4158e+01	2	0	2	5.5	4.5
1502.6056	1.0097e+02	2	0	1	6.5	7.5
1446.1980	5.6524e+00	2	0	1	6.5	6.5
1400.7897	5.9568e+01	2	0	1	6.5	5.5
1513.4428	1.2715e+01	2	0	2	6.5	7.5
1449.8141	2.1033e-01	2	0	2	6.5	6.5
1398.4161	7.2218e+00	2	0	2	6.5	5.5
1515.0994	2.0855e+01	2	0	1	7.5	8.5
1450.3079	8.4216e-01	2	0	1	7.5	7.5
1397.6898	1.1871e+01	2	0	1	7.5	6.5
1526.9560	2.1409e+00	2	0	2	7.5	8.5
1454.5655	2.8709e-02	2	0	2	7.5	7.5
1395.6948	1.1655e+00	2	0	2	7.5	6.5
1528.3964	3.3485e+00	2	0	1	8.5	9.5
1455.0292	1.0149e-01	2	0	1	8.5	8.5
1395.1720	1.8265e+00	2	0	1	8.5	7.5
1541.2445	2.7938e-01	2	0	2	8.5	9.5
1459.9365	3.1420e-03	2	0	2	8.5	8.5
1393.6230	1.4507e-01	2	0	2	8.5	7.5
1542.5129	4.1986e-01	2	0	1	9.5	10.5
1460.3715	9.8853e-03	2	0	1	9.5	9.5
1393.2463	2.1815e-01	2	0	1	9.5	8.5
1556.3389	2.8424e-02	2	0	2	9.5	10.5
1465.9366	2.6921e-04	2	0	2	9.5	9.5
1392.1901	1.4011e-02	2	0	2	9.5	8.5
1557.4689	4.1377e-02	2	0	1	10.5	11.5
1466.3451	7.7128e-04	2	0	1	10.5	10.5
1391.9198	2.0416e-02	2	0	1	10.5	9.5
1572.2707	2.2715e-03	2	0	2	10.5	11.5
1472.5772	1.8302e-05	2	0	2	10.5	10.5
1391.3900	1.0600e-03	2	0	2	10.5	9.5
1573.2878	3.2167e-03	2	0	1	11.5	12.5
1472.9617	4.8914e-05	2	0	1	11.5	11.5
1391.1986	1.5022e-03	2	0	1	11.5	10.5
1589.0719	1.4325e-04	2	0	2	11.5	12.5
1479.8710	1.0032e-06	2	0	2	11.5	11.5
1391.2204	6.3108e-05	2	0	2	11.5	10.5
1589.9960	1.9814e-04	2	0	1	12.5	13.5
1480.2339	2.4804e-06	2	0	1	12.5	12.5
1391.0884	8.7344e-05	2	0	1	12.5	11.5
1606.7764	7.1670e-06	2	0	2	12.5	13.5
1487.8324	4.3566e-08	2	0	2	12.5	12.5
1391.6817	2.9720e-06	2	0	2	12.5	11.5
1607.6230	9.7151e-06	2	0	1	13.5	14.5
1488.1760	1.0247e-07	2	0	1	13.5	13.5
1391.5947	4.0297e-06	2	0	1	13.5	12.5
1625.4199	2.8589e-07	2	0	2	13.5	14.5
1496.4773	1.5409e-09	2	0	2	13.5	13.5
1392.7760	1.1129e-07	2	0	2	13.5	12.5
1626.2015	3.8080e-07	2	0	1	14.5	15.5
1496.8036	3.4060e-09	2	0	1	14.5	14.5
1392.7237	1.4822e-07	2	0	1	14.5	13.5
1645.0407	9.1409e-09	2	0	2	14.5	15.5
1505.8231	4.4072e-11	2	0	2	14.5	14.5
1394.5076	3.3304e-09	2	0	2	14.5	13.5
1506.1338	9.2274e-11	2	0	1	15.5	15.5
1394.4823	4.3672e-09	2	0	1	15.5	14.5
1515.8887	1.0033e-12	2	0	2	15.5	15.5
1396.8822	8.0036e-11	2	0	2	15.5	14.5
1518.7140	1.7526e+03	3	1	2	0.5	1.5
1505.2865	8.6259e+02	3	1	2	0.5	0.5
1524.0954	5.5787e+03	3	1	1	1.5	2.5
1505.5549	7.5280e+03	3	1	1	1.5	1.5
1528.7789	2.2066e+03	3	1	2	1.5	2.5
1506.3998	2.6004e+02	3	1	2	1.5	1.5
1493.1883	1.0857e+03	3	1	2	1.5	0.5
1533.2402	5.9394e+03	3	1	1	2.5	3.5
1506.8968	2.6820e+03	3	1	1	2.5	2.5
1488.7699	2.8657e+03	3	1	1	2.5	1.5
1539.5334	1.7068e+03	3	1	2	2.5	3.5
1508.2255	1.0060e+02	3	1	2	2.5	2.5
1486.4398	9.9659e+02	3	1	2	2.5	1.5
1543.2157	3.9712e+03	3	1	1	3.5	4.5
1508.8276	8.7839e+02	3	1	1	3.5	3.5
1483.3094	2.3171e+03	3	1	1	3.5	2.5
1550.9769	9.3115e+02	3	1	2	3.5	4.5
1510.7382	3.4984e+01	3	1	2	3.5	3.5
